country                 life_eval_change  gdp_change  social_support_change  healthy_life_expectancy_change  freedom_change  generosity_change  corruption_change dystopia_residual_change
Serbia                  2.127             0.708       0.216                  -0.248                          0.518           -0.026             0.037             -0.289
Bulgaria                1.814             0.721       0.126                  -0.308                          0.463           -0.045             0.003             -0.360
Georgia                 1.625             0.822       0.470                  -0.195                          0.503           -0.048            -0.013             -0.694
Latvia                  1.603             0.656       0.196                  -0.266                          0.611            0.028             0.007             -0.816
Bosnia and Herzegovina  1.524             0.698       0.221                  -0.136                          0.569           -0.112             0.023             -0.555
Kosovo                  1.490             0.695       0.109                   0.234                          0.488           -0.139             0.073             -0.877
Romania                 1.451             0.698       0.039                  -0.184                          0.430           -0.038             0.033             -0.472
China                   1.394             0.671      -0.169                   0.038                          0.191            0.010             0.044              0.166
Philippines             1.381             0.638       0.040                  -0.316                          0.463           -0.041            -0.035             -0.549
Mongolia                1.374             0.653       0.156                  -0.195                          0.396           -0.102             0.004             -0.435
Somalia                -0.932             0.283      -0.086                  -0.011                          0.012           -0.051             0.026             -0.013
Rwanda                 -0.936             0.442      -0.390                  -0.110                          0.017           -0.049             0.058             -0.012
Turkmenistan           -1.094             0.475      -0.191                  -0.096                          0.134           -0.009            -0.002              0.045
Botswana               -1.117             0.584      -0.097                  -0.477                          0.351           -0.011            -0.009             -0.356
Venezuela              -1.166            -0.770      -0.014                  -0.206                          0.574            0.093             0.069              0.956
Jordan                 -1.228             0.603      -0.085                  -0.172                          0.428           -0.038             0.022             -0.914
Syria                  -1.273             NaN         NaN                     NaN                            NaN              NaN               NaN                NaN
Lebanon                -1.326             0.539      -0.142                  -0.373                          0.248           -0.085             0.035             -1.271
Malawi                 -1.340             0.687      -0.204                  -0.147                          0.325           -0.104             0.011             -0.823
Afghanistan            -2.812             0.620      -0.356                  -0.090                          0.000           -0.056             0.130             -1.368
